시군구명,대중교통,건물수,노후비율,복지시설,생활인구
강남구,561,12162,30.74,107,804282.95782
강동구,403,15398,49.14,129,550787.719553
강북구,410,22006,55.06,115,286544.52007
강서구,622,18704,39.24,184,538115.18865
관악구,490,24867,46.33,133,465291.64481
광진구,293,20255,46.02,92,357346.86448
구로구,508,15992,52.01,97,383571.12695
금천구,355,11380,59.58,109,218324.52397
노원구,521,8984,48.11,162,495486.44372
도봉구,362,12249,48.13,131,268864.73561
동대문구,316,19513,62.87,102,344805.84695
동작구,450,19258,53.8,91,379345.61638
마포구,586,15695,47.63,75,445361.86515
서대문구,464,16966,60.72,103,354841.295666
서초구,652,10609,37.79,68,555864.0534719999
성동구,458,12961,66.22,64,340197.55485
성북구,601,25522,59.09,114,414983.791889
송파구,506,17650,37.85,140,741288.808
양천구,337,13714,50.18,134,371073.140169
영등포구,515,16090,63.25,104,469401.263749
용산구,353,17751,69.17,45,283023.014825
은평구,507,24330,51.07,137,429097.72087
종로구,391,11739,56.81,61,276494.038267
중구,228,7122,70.02,44,258463.417698
중랑구,387,22597,51.31,144,348109.31384
